15 основных задач гражданской обороны не включают,вакцинацию населения в случае угрозы возникновения эпидемии
Отметьте правильное и наиболее полное из ниже приведённых высказывание о современных особенностях смертности её структуры и тенденциях её изменения в РФ,"в последние годы наблюдается тенденция увеличения доли смертности, связанной с болезнями нарушения обмена веществ (диабет и др.)"
Отметьте правильное и наиболее полное из ниже приведённых высказывание о современных особенностях смертности её структуры и тенденциях её изменения в РФ:,"*преждевременная смертность по социально-экономическим, экологическим, социально-психологическим, криминальным причинам и по причинам нарушения принципов здорового образа жизни составляет менее 60%;"
Отметьте правильное и наиболее полное из ниже приведённых высказывание о современных особенностях смертности её структуры и тенденциях её изменения в РФ:,"в последние годы наблюдается тенденция увеличения доли смертности, связанной с болезнями нарушения обмена веществ (диабет и др.)"
Отметьте правильное и наиболее полное из ниже приведённых высказывание о современных особенностях смертности её структуры и тенденциях её изменения в РФ:,"в последние годы наблюдается тенденция увеличения доли смертности, связанной с болезнями нарушения обмена веществ (диабет и др.)"
Отметьте правильное и наиболее полное из ниже приведённых высказывание о современных особенностях смертности её структуры и тенденциях её изменения в РФ:,"
преждевременная смертность по социально-экономическим, экологическим, социально-психологическим, криминальным причинам и по причинам нарушения принципов здорового образа жизни составляет менее 60%; "
Отметьте правильное и наиболее полное из ниже приведённых высказывание о современных особенностях смертности её структуры и тенденциях её изменения в РФ:,"в последние годы наблюдается тенденция увеличения доли смертности, связанной с болезнями нарушения обмена веществ (диабет и др.) "
"Отметьте правильное и наиболее полное из ниже приведённых высказывание о современных особенностях смертности её структуры и тенденциях её изменения в РФ:
Выберите один ответ:
в последние годы наблюдается тенденция увеличения доли смертности, связанной с болезнями нарушения обмена веществ (диабет и др.) 
число смертей связанных с употреблением наркотиков (психоактивных веществ - ПАВ) падает
статистические данные показывают, что уровень смертности не зависит от объёма потребления алкоголя на душу населения
в последние годы наблюдается тенденция уменьшается доли смертности, связанной с психическими расстройствами и расстройствами поведения
преждевременная смертность по социально-экономическим, экологическим, социально-психологическим, криминальным причинам и по причинам нарушения принципов здорового образа жизни составляет менее 60%;","в последние годы наблюдается тенденция увеличения доли смертности, связанной с болезнями нарушения обмена веществ (диабет и др.)"
Отметьте правильное и наиболее полное из ниже приведённых высказывание о современных особенностях структуры смертности в РФ и перспективах продления продолжительности жизни,"справедливы высказывания относительно возможностей повышения уровня безопасности и за счёт снижения младенческой и детской смертности, и снижения смертности из-за травматизма и отравлений, и высказывание относительно доли смертности по старости"
Отметьте правильное и наиболее полное из ниже приведённых высказывание о современных особенностях структуры смертности в РФ и перспективах продления продолжительности жизни:,"справедливы высказывания относительно возможностей повышения уровня безопасности и за счёт снижения младенческой и детской смертности, и снижения смертности из-за травматизма и отравлений, и высказывание относительно доли смертности по старости "
Отметьте правильное и наиболее полное из ниже приведённых высказывание о современных особенностях структуры смертности в РФ и перспективах продления продолжительности жизни:,*существенный вклад в повышение уровня безопасности (повышения средней ожидаемой продолжительности предстоящей жизни) в РФ может дать дальнейшее снижение младенческой и детской смертности 
Отметьте правильное и наиболее полное из ниже приведённых высказывание о современных особенностях структуры смертности в РФ и перспективах продления продолжительности жизни:,"*по данным Росстата смертность по старости в последние десятилетия составляет менее 20%, т.е. преждевременная смертность по социально-экономическим, экологическим, социально-психологическим, криминальным причинам и по причинам нарушения принципов здорового образа жизни составляет более 80%;"
Отметьте правильное и наиболее полное из ниже приведённых высказывание о современных особенностях структуры смертности в РФ:,риск смерти от производственного травматизма для мужчин в РФ в 20-е годы ХХI века по оценкам на основе данных Роструда составляет величину порядка 10-5 смертей на человека в год
Отметьте правильное и наиболее полное из ниже приведённых высказывание о современных особенностях структуры смертности в РФ:,"в последние годы в России (кроме лет эпидемии COVID-19) в структуре основных классификационных групп причин смерти «травмы, отравления и некоторые другие последствия воздействия внешних причин» стабильно занимают третье место по значимости"
Отметьте правильное и наиболее полное из ниже приведённых высказывание о современных особенностях структуры смертности в РФ:,"в последние годы в России (кроме лет эпидемии COVID-19) в структуре основных классификационных групп причин смерти «травмы, отравления и некоторые другие последствия воздействия внешних причин» стабильно занимают третье место по значимости"
Отметьте правильное и наиболее полное из ниже приведённых высказывание о современных особенностях структуры смертности в РФ:,"в последние годы в России (кроме лет эпидемии COVID-19) в структуре основных классификационных групп причин смерти «травмы, отравления и некоторые другие последствия воздействия внешних причин» стабильно занимают третье место по значимости"
Отметьте правильное и наиболее полное из ниже приведённых высказывание о современных особенностях структуры смертности в РФ:,риск смерти от производственного травматизма для мужчин в РФ в 20-е годы ХХI века по оценкам на основе данных Роструда составляет величину порядка 10-5 смертей на человека в год
Отметьте правильное и наиболее полное из ниже приведённых высказывание о современных особенностях структуры смертности в РФ:,риск смерти от производственного травматизма для мужчин в РФ в 20-е годы ХХI века по оценкам на основе данных Роструда составляет величину порядка 10-5 смертей на человека в год
Отметьте правильное и наиболее полное из ниже приведённых высказывание о современных особенностях структуры смертности в РФ:,"праведливы только высказывания, относящиеся к смертности, связанной с COVID-19 и употреблением алкоголя"
Отметьте правильное и наиболее полное из ниже приведённых высказывание о современных особенностях структуры смертности в РФ:,"в последние годы в России (кроме лет эпидемии COVID-19) в структуре основных классификационных групп причин смерти «травмы, отравления и некоторые другие последствия воздействия внешних причин» стабильно занимают третье место по значимости "
Отметьте правильное и наиболее полное из ниже приведённых высказывание о современных особенностях структуры смертности в РФ:,*риск смерти от производственного травматизма для мужчин в РФ в 20-е годы ХХI века по оценкам на основе данных Роструда составляет величину порядка 10-4 смертей на человека в год
Отметьте правильное и наиболее полное из ниже приведённых высказывание о современных особенностях структуры смертности в РФ:,"*по данным Росстата в последние годы в РФ число смертей из-за травм, отравлений и некоторых других последствий воздействия внешних факторов составляет менее 5 тысяч человек "
Отметьте правильное и наиболее полное из ниже приведённых высказывание о современных особенностях структуры смертности в РФ:,Отметьте правильное и наиболее полное из ниже приведённых высказывание о современных особенностях структуры смертности в РФ:
"Отметьте правильное и наиболее полное из ниже приведённых высказывание о современных особенностях структуры смертности в РФ:
","праведливы только высказывания, относящиеся к смертности, связанной с COVID-19 и употреблением алкоголя"
"Отметьте правильное и наиболее полное из ниже приведённых высказывание о современных особенностях структуры смертности в РФ:
","праведливы только высказывания, относящиеся к смертности, связанной с COVID-19 и употреблением алкоголя "
"Отметьте правильное и наиболее полное из ниже приведённых высказывание о современных особенностях структуры смертности в РФ:
",*риск смерти от производственного травматизма для мужчин в РФ в 20-е годы ХХI века по оценкам на основе данных Роструда составляет величину порядка 10-4 смертей на человека в год
"Отметьте правильное и наиболее полное из ниже приведённых высказывание о современных особенностях структуры смертности в РФ:
Выберите один ответ:
по данным Росстата в последние годы в РФ число смертей из-за травм, отравлений и некоторых других последствий воздействия внешних факторов составляет менее 5 тысяч человек
по данным Росстата в последние годы в РФ число смертей, обусловленных алкоголем, порядка 40 000 – 50 000 человек
справедливы все приведённые количественные характеристики смертности
избыточная смертность в РФ, связанная с COVID-19 в 2021, году составила величину свыше 600 тысяч человек
праведливы только высказывания, относящиеся к смертности, связанной с COVID-19 и употреблением алкоголя ","праведливы только высказывания, относящиеся к смертности, связанной с COVID-19 и употреблением алкоголя"
"Отметьте правильное и наиболее полное из ниже приведённых высказывание о современных особенностях структуры смертности в РФ:
Выберите один ответ:
риск смерти от производственного травматизма для мужчин в РФ в 20-е годы ХХI века по оценкам на основе данных Роструда составляет величину порядка 10-5 смертей на человека в год
приводимые в публикациях СМИ и Интернета данные о смертности и величинах рисков смерти по различным причинам всегда являются достоверными
риск смерти от производственного травматизма для мужчин в РФ в 20-е годы ХХI века по оценкам на основе данных Роструда составляет величину порядка 10-3 смертей на человека в год
риск смерти от производственного травматизма для мужчин в РФ в 20-е годы ХХI века по оценкам на основе данных Роструда составляет величину порядка 10-4 смертей на человека в год 
риск смерти от производственного травматизма для мужчин в РФ в 20-е годы ХХI века по оценкам на основе данных Роструда составляет величину порядка 10-6 смертей на человека в год",*риск смерти от производственного травматизма для мужчин в РФ в 20-е годы ХХI века по оценкам на основе данных Роструда составляет величину порядка 10-4 смертей на человека в год 
"Отметьте правильное и наиболее полное из ниже приведённых высказывание о способах защиты работников от опасностей, возникающих при ЧС","на практике используются все перечисленные способы защиты работников от опасностей, возникающих при ЧС "
"Отметьте правильное и наиболее полное из ниже приведённых высказывание о способах защиты работников от опасностей, возникающих при ЧС","на практике используются все перечисленные способы защиты работников от опасностей, возникающих при ЧС"
"Отметьте правильное и наиболее полное из ниже приведённых высказывание о способах защиты работников от опасностей, возникающих при ЧС","на практике используются все перечисленные способы защиты работников от опасностей, возникающих при ЧС"
"Отметьте правильное и наиболее полное из ниже приведённых высказывание о способах защиты работников от опасностей, возникающих при ЧС","на практике используются все перечисленные способы защиты работников от опасностей, возникающих при ЧС"
"Отметьте правильное и наиболее полное из ниже приведённых высказывание о том, как надо поступать, если в результате террористического акта вас завалило:",среди приведённых высказываний все правильные
"Отметьте правильное и наиболее полное из ниже приведённых высказывание о том, как надо поступать, если в результате террористического акта вас завалило:",среди приведённых высказываний все правильные 
"Отметьте правильное и наиболее полное из ниже приведённых высказывание о том, как надо поступать, если в результате террористического акта вас завалило:
Выберите один ответ:
среди приведённых высказываний все правильные
в «минуту молчания» привлечь внимание спасателей любым способом
осмотритесь – нет ли поблизости пустот и уточните, откуда поступает воздух
обуздать первый страх,
не падать духом",среди приведённых высказываний все правильные
"Отметьте правильное и наиболее полное из ниже приведённых высказывание о том, как надо поступать, если в результате террористического акта загорелась ваша квартира",справедливы все приведённые высказывания
"Отметьте правильное и наиболее полное из ниже приведённых высказывание о том, как надо поступать, если в результате террористического акта загорелась ваша квартира:",справедливы все приведённые высказывания
"Отметьте правильное и наиболее полное из ниже приведённых высказывание о том, как надо поступать, если в результате террористического акта загорелась ваша квартира:",справедливы все приведённые высказывания
"Отметьте правильное и наиболее полное из ниже приведённых высказывание о том, как надо поступать, если в результате террористического акта загорелась ваша квартира:
",справедливы все приведённые высказывания 
"Отметьте правильное и наиболее полное из ниже приведённых высказывание о том, как надо поступать, если вас захватили в заложники:",справедливы все приведённые высказывания
"Отметьте правильное и наиболее полное из ниже приведённых высказывание о том, как надо поступать, если вас захватили в заложники:",справедливы все приведённые высказывания
"Отметьте правильное и наиболее полное из ниже приведённых высказывание о том, как надо поступать, если вас захватили в заложники:",справедливы все приведённые высказывания 
"Отметьте правильное и наиболее полное из ниже приведённых высказывание о том, как надо поступать, если вас захватили в заложники:",справедливы все приведённые высказывания 
"Отметьте правильное и наиболее полное из ниже приведённых высказывание о том, как надо поступать, если вас захватили в заложники:",справедливы все приведённые высказывания
"Отметьте правильное и наиболее полное из ниже приведённых высказывание о том, как надо поступать, если вас захватили в заложники:",справедливы все приведённые высказывания
"Отметьте правильное и наиболее полное из ниже приведённых высказывание о том, как надо поступать, если вас захватили в заложники:",справедливы все приведённые высказывания 
"Отметьте правильное и наиболее полное из ниже приведённых высказывание о том, как надо поступать, если вас захватили в заложники:
Выберите один ответ:
не допускайте действий, которые могут спровоцировать нападающих к применению оружия и привести к человеческим жертвам
переносите лишения, оскорбления и унижения, не смотрите в глаза преступникам, не ведите себя вызывающе
справедливы все приведённые высказывания 
если есть возможность, держитесь подальше от проемов дверей и окон
не рискуйте жизнью окружающих и своей собственной, старайтесь не допускать истерик и паники",справедливы все приведённые высказывания
Отметьте правильное и наиболее полное из ниже приведённых высказывание об алгоритме действия государственных систем обеспечения безопасности:,*алгоритм действия государственных систем обеспечения безопасности включает необходимость избегать опасности 
Отметьте правильное и наиболее полное из ниже приведённых высказывание об алгоритме действия государственных систем обеспечения безопасности:,*алгоритм действия государственных систем обеспечения безопасности предполагает уклонение от опасности и включает необходимость избегать опасности 
Отметьте правильное и наиболее полное из ниже приведённых высказывание об алгоритме действия государственных систем обеспечения безопасности:,"*алгоритм действия государственных систем обеспечения безопасности включает, в том числе, ликвидацию последствий реализации опасности "
Отметьте правильное и наиболее полное из ниже приведённых высказывание об алгоритме действия государственных систем обеспечения безопасности:,"алгоритм действия государственных систем обеспечения безопасности включает и предотвращение опасности, и необходимость ликвидации последствий реализации опасности "
Отметьте правильное и наиболее полное из ниже приведённых высказывание об алгоритме действия государственных систем обеспечения безопасности:,*Отметьте правильное и наиболее полное из ниже приведённых высказывание об алгоритме действия государственных систем обеспечения безопасности:
Отметьте правильное и наиболее полное из ниже приведённых высказывание об алгоритме действия государственных систем обеспечения безопасности:,"*алгоритм действия государственных систем обеспечения безопасности включает, в том числе, предотвращение опасности "
Отметьте правильное и наиболее полное из ниже приведённых высказывание об алгоритме действия государственных систем обеспечения безопасности:,"алгоритм действия государственных систем обеспечения безопасности включает и предотвращение опасности, и необходимость ликвидации последствий реализации опасности "
Отметьте правильное и наиболее полное из ниже приведённых высказывание об алгоритме действия государственных систем обеспечения безопасности:,*алгоритм действия государственных систем обеспечения безопасности включает необходимость избегать опасности
Отметьте правильное и наиболее полное из ниже приведённых высказывание об алгоритме действия государственных систем обеспечения безопасности:,алгоритм действия государственных систем обеспечения безопасности включает необходимость избегать опасности 
Отметьте правильное и наиболее полное из ниже приведённых высказывание об алгоритме действия государственных систем обеспечения безопасности:,"алгоритм действия государственных систем обеспечения безопасности включает и предотвращение опасности, и необходимость ликвидации последствий реализации опасности "
"Отметьте правильное и наиболее полное из ниже приведённых высказывание об алгоритме действия государственных систем обеспечения безопасности:
Выберите один ответ:","алгоритм действия государственных систем обеспечения безопасности включает и предотвращение опасности, и необходимость ликвидации последствий реализации опасности "
"Отметьте правильное и наиболее полное из ниже приведённых высказывание об алгоритме действия государственных систем обеспечения безопасности:
Выберите один ответ:
алгоритм действия государственных систем обеспечения безопасности не предполагает обязательного уклонение от опасности
алгоритм действия государственных систем обеспечения безопасности включает, в том числе, снижение воздействия опасности
справедливы все приведённые высказывания
алгоритм действия государственных систем обеспечения безопасности включает, в том числе, ликвидацию последствий реализации опасности
алгоритм действия государственных систем обеспечения безопасности включает, в том числе, предотвращение опасности",справедливы все приведённые высказывания 
"Отметьте правильное и наиболее полное из ниже приведённых высказывание об алгоритме действия государственных систем обеспечения безопасности:
Выберите один ответ:
алгоритм действия государственных систем обеспечения безопасности предполагает уклонение от опасности и включает необходимость избегать опасности
алгоритм действия государственных систем обеспечения безопасности предполагает уклонение от опасности
алгоритм действия государственных систем обеспечения безопасности предполагает, в том числе, необходимость предотвращения опасности 
алгоритм действия государственных систем обеспечения безопасности включает необходимость избегать опасности
справедливы все приведённые высказывания","алгоритм действия государственных систем обеспечения безопасности предполагает, в том числе, необходимость предотвращения опасности"
Отметьте правильное и наиболее полное из ниже приведённых высказывание об алгоритме обеспечения личной безопасности,"алгоритм личной безопасности включает необходимость предвидеть опасность, необходимость избегать опасности, необходимость действовать при угрозе наступления или при реализации опасности"
Отметьте правильное и наиболее полное из ниже приведённых высказывание об алгоритме обеспечения личной безопасности,"алгоритм личной безопасности включает, в том числе, необходимость предвидеть опасность, необходимость избегать опасности, необходимость действовать при угрозе наступления или при реализации опасности"
Отметьте правильное и наиболее полное из ниже приведённых высказывание об алгоритме обеспечения личной безопасности:,"*алгоритм личной безопасности включает, в том числе, необходимость предвидеть опасность"
Отметьте правильное и наиболее полное из ниже приведённых высказывание об алгоритме обеспечения личной безопасности:,"алгоритм личной безопасности включает, в том числе, необходимость предвидеть опасность, необходимость избегать опасности, необходимость действовать при угрозе наступления или при реализации опасности "
Отметьте правильное и наиболее полное из ниже приведённых высказывание об алгоритме обеспечения личной безопасности:,"*алгоритм личной безопасности включает необходимость, в том числе, предвидеть опасность, необходимость действовать при угрозе наступления или при реализации опасности, необходимость ликвидировать последствия реализации опасности"
"Отметьте правильное и наиболее полное из ниже приведённых высказывание об алгоритме обеспечения личной безопасности:
","* алгоритм личной безопасности включает, в том числе, необходимость предвидеть опасность, необходимость избегать опасности, необходимость ликвидировать последствия реализации опасности"
"Отметьте правильное и наиболее полное из ниже приведённых высказывание об алгоритме обеспечения личной безопасности:
","алгоритм личной безопасности включает необходимость предвидеть опасность, необходимость избегать опасности, необходимость действовать при угрозе наступления или при реализации опасности"
"Отметьте правильное и наиболее полное из ниже приведённых высказывание об алгоритме обеспечения личной безопасности:
Выберите один ответ:
алгоритм личной безопасности включает, в том числе, необходимость предвидеть опасность, необходимость избегать опасности, необходимость действовать при угрозе наступления или при реализации опасности 
алгоритм личной безопасности включает необходимость, в том числе, предвидеть опасность, необходимость действовать при угрозе наступления или при реализации опасности, необходимость ликвидировать последствия реализации опасности
алгоритм личной безопасности включает, в том числе, необходимость предвидеть опасность, необходимость избегать опасности, необходимость ликвидировать последствия реализации опасности
справедливы все приведённые высказывания
алгоритм личной безопасности включает, в том числе, необходимость избегать опасности, необходимость действовать при угрозе наступления или при реализации опасности, необходимость ликвидировать последствия реализации опасности","алгоритм личной безопасности включает, в том числе, необходимость предвидеть опасность, необходимость избегать опасности, необходимость действовать при угрозе наступления или при реализации опасности"
Отметьте правильное и наиболее полное из ниже приведённых высказывание об определении понятия риск и его использовании для управления безопасностью,*в большинстве развитых стран уровень приемлемого риска устанавливается законодательно
Отметьте правильное и наиболее полное из ниже приведённых высказывание об определении понятия риск и его использовании для управления безопасностью:,"допустимая количественная характеристика риска для экосистемы – это процент биологических видов экосистемы, на которых сказывается вредное воздействие поражающих факторов, в том числе и с учётом отдалённых последствий "
Отметьте правильное и наиболее полное из ниже приведённых высказывание об определении понятия риск и его использовании для управления безопасностью:,*справедливы все приведённые высказывания
Отметьте правильное и наиболее полное из ниже приведённых высказывание об определении понятия риск и его использовании для управления безопасностью:,"*справедливы только высказывания, относящиеся к анализу рисков для экосистем"
